bestOfferEnabled,bidCount,buyItNowAvailable,categoryId,categoryName,conditionDisplayName,conditionId,country,endTime,expeditedShipping,gift,itemId,listingType,paymentMethod,postalCode,productId_type,productId_value,returnsAccepted,sellingState,shippingType,startTime,title,topRatedListing,value
False,NA,False,111422,Apple Laptops,Used,3000,US,2016-04-07T21:06:50.000Z,False,False,182074417274,StoreInventory,PayPal,07621,NA,NA,True,EndedWithoutSales,Free,2016-03-31T21:06:50.000Z,"CUSTOM 17"" APPLE MACBOOK PRO LAPTOP~2.6GHZ~4GB~1TB SSD HD~!!!",False,789.0
False,29,False,111422,Apple Laptops,Used,3000,US,2016-04-05T21:06:40.000Z,False,False,182074417093,Auction,PayPal,84093,NA,NA,True,EndedWithSales,Free,2016-03-31T21:06:40.000Z,"CUSTOM MacBook Pro 17"" w/  Server Grade 1TB Samsung SSD | 2.8GHz | 8GB RAM Clean",False,750.0
False,36,False,111422,Apple Laptops,For parts or not working,7000,US,2016-04-07T21:03:41.000Z,False,False,272194959348,Auction,PayPal,92105,NA,NA,False,EndedWithSales,FlatDomesticCalculatedInternational,2016-03-31T21:03:41.000Z,"Apple MacBook Pro A1398 15.4"" Laptop - (Late 2013) AS-IS FIRMWARE LOCKED",False,964.95
False,22,False,111422,Apple Laptops,Seller refurbished,2500,US,2016-04-03T21:00:57.000Z,False,False,191839172825,Auction,PayPal,44139,NA,NA,True,EndedWithSales,Calculated,2016-03-31T21:00:57.000Z,APPLE MACBOOK PRO A1278 | CORE I5 2415M 2.3 GHZ | 1 TB | 4 GB RAM | OSX 10.10,False,420.0
False,16,False,111422,Apple Laptops,Seller refurbished,2500,US,2016-04-03T21:00:14.000Z,False,False,201552601921,Auction,PayPal,44139,NA,NA,True,EndedWithSales,Calculated,2016-03-31T21:00:14.000Z,APPLE MACBOOK PRO A1278 | CORE I5 2415M 2.3GHZ | 750GB | 4GB RAM | OSX 10.10,False,366.0
False,NA,False,111422,Apple Laptops,Seller refurbished,2500,US,2016-04-07T16:32:01.000Z,False,False,172152997097,FixedPrice,PayPal,72701,NA,NA,True,EndedWithSales,Free,2016-03-31T20:58:56.000Z,Apple MacBook Pro ME664LL/A 15.4 Inch Laptop with Retina Display 256GB SSD 16GB,True,1129.99
False,NA,False,111422,Apple Laptops,Used,3000,US,2016-04-02T00:28:25.000Z,False,False,182074390926,StoreInventory,PayPal,07621,NA,NA,True,EndedWithSales,FlatDomesticCalculatedInternational,2016-03-31T20:55:20.000Z,"CUSTOM CARBON 15"" APPLE MACBOOK PRO LAPTOP~~2.53GHZ~~8GB~~1TB SSD HD~~!!!",False,889.0
False,1,False,111422,Apple Laptops,Used,3000,US,2016-04-01T11:52:24.000Z,True,False,201552716836,Auction,PayPal,85085,NA,NA,False,EndedWithSales,Free,2016-03-31T20:54:58.000Z,"Macbook Pro Retina 15"" Late 2013 i7 16GB 512GB",False,1250.0
False,NA,False,111422,Apple Laptops,Used,3000,US,2016-04-01T22:45:15.000Z,True,False,121941751873,StoreInventory,PayPal,92108,NA,NA,True,EndedWithoutSales,Free,2016-03-31T20:53:38.000Z,"15"" Apple MacBook Pro (9,1) laptop 2.3 - 3.3GHz Core i7 1TB HD 8GB RAM DUAL GFX",True,1097.0
True,NA,False,111422,Apple Laptops,Used,3000,CA,2016-04-07T20:53:20.000Z,False,False,152036248901,StoreInventory,PayPal,V9J1Y3,NA,NA,False,EndedWithoutSales,Flat,2016-03-31T20:53:20.000Z,"mid 2010 Apple Macbook Pro 13.3"" A1278!!! 4GB memory",False,500.0
