itemId,title,productId_type,productId_value,conditionDisplayName,conditionId,categoryId,categoryName,startTime,endTime,postalCode,country,listingType,bidCount,buyItNowAvailable,bestOfferEnabled,topRatedListing,gift,paymentMethod,expeditedShipping,shippingType,isShippingFree,returnsAccepted,sellingState,value
201565279146,"Apple MacBook Pro A1286 15.4"" Laptop - MC721LL/A (February, 2011)",ReferenceID,99700122.0,Used,3000,111422,Apple Laptops,2016-04-20T03:11:52.000Z,2016-04-27T03:11:52.000Z,46204,US,Auction,13.0,False,False,False,False,PayPal,False,Flat,False,False,EndedWithSales,510.0
262396050959,"MACBOOK PRO 15"" mid 2009 2.53GHZ  Core 2 Duo 4GB RAM 250GB HD",NA,NA,Used,3000,111422,Apple Laptops,2016-04-20T03:07:41.000Z,2016-04-21T03:39:49.000Z,H8R3W2,CA,FixedPrice,NA,False,False,False,False,PayPal,False,Flat,False,True,EndedWithSales,369.0
371605076883,EUC Apple MacBook PRO 15in MAC OS X 4GB Memory 2.4 GHz Intel Core i5 Laptop,NA,NA,Used,3000,111422,Apple Laptops,2016-04-20T03:06:49.000Z,2016-04-27T03:06:49.000Z,60614,US,Auction,2.0,False,False,False,False,PayPal,True,Calculated,False,False,EndedWithSales,355.0
222092215576,"13"" Apple MacBook Pro 2.4ghz i5 / 8GB / 1TB Hybrid SSD / Office / MD313LL/A",NA,NA,Used,3000,111422,Apple Laptops,2016-04-20T03:04:57.000Z,2016-04-27T03:04:57.000Z,33823,US,FixedPrice,NA,False,False,True,False,PayPal,True,FlatDomesticCalculatedInternational,False,True,EndedWithoutSales,729.0
111974194204,"Apple MacBook Pro Retina 15"" 2014, 2.5ghz,16gb ram, 512gb SSD, nVidia, Excellent",NA,NA,Used,3000,111422,Apple Laptops,2016-04-20T03:00:28.000Z,2016-04-25T03:00:28.000Z,33019,US,Auction,53.0,False,False,False,False,PayPal,True,Flat,False,False,EndedWithSales,1491.0
201565273776,"Apple MacBook Pro 2.4 15"" Late 2008 Unibody MB470LL/A For Repair or Parts",ReferenceID,108761124.0,For parts or not working,7000,111422,Apple Laptops,2016-04-20T02:59:11.000Z,2016-04-27T02:59:11.000Z,90066,US,Auction,21.0,False,False,False,False,PayPal,True,Calculated,False,False,EndedWithSales,163.87
162044036642,Macbook Pro 17''  i7 2.8GHz  keyboard no working power on and boots to os x,NA,NA,For parts or not working,7000,111422,Apple Laptops,2016-04-20T02:55:20.000Z,2016-04-25T02:55:20.000Z,94306,US,Auction,6.0,False,False,False,False,PayPal,False,Flat,False,False,EndedWithSales,306.0
322081011016,"Apple MacBook Pro 17"" Laptop - MC227LL/A (June, 2009)",ReferenceID,84260174.0,Used,3000,111422,Apple Laptops,2016-04-20T02:54:57.000Z,2016-04-23T02:54:57.000Z,86430,US,Auction,0.0,False,False,False,False,PayPal,False,Flat,False,False,EndedWithoutSales,550.25
291742960009,"Macbook Pro 17"" A1297 Apple i7 Quad Core 2.2ghz 16gb RAM 1TB SSHD Hybrid",NA,NA,Used,3000,111422,Apple Laptops,2016-04-20T02:52:31.000Z,2016-04-23T02:52:31.000Z,30046,US,FixedPrice,NA,False,True,False,False,PayPal,True,FlatDomesticCalculatedInternational,False,False,EndedWithoutSales,1199.95
322081008329,Apple MacBook Pro 15.4 A1286 Broken,NA,NA,For parts or not working,7000,111422,Apple Laptops,2016-04-20T02:49:43.000Z,2016-04-20T03:49:45.000Z,33928,US,Auction,0.0,False,False,False,False,PayPal,True,Calculated,False,False,EndedWithoutSales,59.99
262396030373,"MacBook Pro 15"" Retina Mid 2015",NA,NA,Used,3000,111422,Apple Laptops,2016-04-20T02:48:12.000Z,2016-04-21T00:45:44.000Z,33157,US,FixedPrice,NA,False,True,False,False,PayPal,False,Calculated,False,False,EndedWithoutSales,2200.0
121962247868,"Apple MacBook Pro 17"" i7 2.4GHz 16GB Memory 500GB SSD - *NEW BATTERY + RARE!*",NA,NA,Manufacturer refurbished,2000,111422,Apple Laptops,2016-04-20T02:46:50.000Z,2016-04-20T03:06:39.000Z,60062,US,FixedPrice,NA,False,False,False,False,PayPal,False,FlatDomesticCalculatedInternational,False,True,EndedWithSales,1650.0
252361689059,Apple MacBook Pro 15 15.4 A1398 16 Gb / 2.6 Ghz Intel core i7 1 Tb HD Z0PU00027,NA,NA,Manufacturer refurbished,2000,111422,Apple Laptops,2016-04-20T02:46:38.000Z,2016-04-20T14:53:37.000Z,NA,US,Auction,0.0,False,False,False,False,"['VisaMC', 'AmEx', 'Discover']",True,Flat,False,False,EndedWithoutSales,0.01
121962247619,"Apple 2012 MacBook Pro 15"" 2.3GHz I7 320GB 4GB RAM MD103LL/A",ReferenceID,115231153.0,Used,3000,111422,Apple Laptops,2016-04-20T02:46:13.000Z,2016-04-25T02:46:13.000Z,61615,US,FixedPrice,NA,False,False,False,False,PayPal,False,FlatDomesticCalculatedInternational,False,False,EndedWithoutSales,799.0
262396027333,"Apple 2011 MacBook Pro 15.4"" Quad Core i7 2.0GHz 8GB RAM 240GB SSD LOADED",ReferenceID,208292445.0,Used,3000,111422,Apple Laptops,2016-04-20T02:45:21.000Z,2016-04-20T18:33:42.000Z,85202,US,FixedPrice,NA,False,False,False,False,PayPal,False,FlatDomesticCalculatedInternational,False,False,EndedWithSales,719.99
