productId_type,productId_value,conditionDisplayName,conditionId,country,listingType,buyItNowAvailable,bestOfferEnabled,paymentMethod,expeditedShipping,shippingType,isShippingFree,returnsAccepted,feedbackRatingStar,feedbackScore,positiveFeedbackPercent,topRatedSeller,value,sellingState,endHour,endWeekday
0,89,5,4,41,0,0,0,0,1,3,0,0,7,108,100.0,0,0.0,0,1,3
0,85,5,4,41,1,0,0,0,0,0,0,0,10,20701,99.9,0,1299.95,0,1,3
1,205,5,4,41,1,0,0,0,1,3,0,1,7,497,100.0,0,535.0,0,1,3
0,190,0,5,41,1,0,0,0,0,4,1,0,5,4761,99.6,1,199.0,0,1,3
0,43,5,4,41,0,0,0,0,1,0,0,0,2,0,0.0,0,0.0,0,1,3
1,205,5,4,41,1,0,0,12,0,4,1,0,1,7414,99.8,1,529.95,0,1,3
1,205,5,4,41,0,0,0,0,0,2,0,1,7,298,99.7,1,0.0,0,1,3
1,205,5,4,41,0,0,0,0,1,3,0,0,7,181,99.6,0,0.0,0,1,3
1,205,2,0,41,1,0,0,0,1,4,1,1,9,47,96.9,0,1768.98,0,1,3
0,43,5,4,41,0,0,0,0,1,4,1,0,7,230,100.0,0,0.0,0,1,3
1,205,3,1,41,1,0,1,0,1,0,0,1,7,104,98.2,0,1800.0,0,1,3
0,100,2,0,41,1,0,0,0,1,3,0,1,5,1942,100.0,1,1729.99,0,1,3
0,26,5,4,41,0,0,0,0,0,2,0,0,7,197,100.0,0,0.0,0,1,3
1,205,5,4,41,1,0,1,0,1,3,0,0,0,85,98.7,0,300.0,0,1,3
0,201,5,4,41,1,0,0,0,1,0,0,0,7,132,100.0,0,693.0,0,1,3
1,205,5,4,41,1,0,1,0,0,4,1,1,2,5,0.0,0,550.0,0,1,3
0,98,2,0,41,1,0,0,0,0,4,1,0,4,51443,99.5,0,1299.99,0,1,3
0,195,5,4,41,0,0,0,0,1,0,0,0,9,18,100.0,0,0.0,0,1,3
0,204,5,4,41,1,0,0,0,1,3,0,0,7,471,99.2,0,465.0,0,1,3
1,205,5,4,41,1,0,1,0,0,0,0,0,7,101,100.0,0,425.0,0,0,3
0,181,4,3,41,1,0,1,0,1,3,0,1,0,68,90.9,0,315.0,0,0,3
1,205,5,4,41,0,0,0,0,1,3,0,0,7,244,94.9,0,0.0,0,0,3
1,205,4,3,41,1,0,0,0,1,0,0,0,7,146,99.3,1,1400.0,0,0,3
1,205,5,4,41,1,0,1,0,0,2,0,0,3,525,100.0,1,700.0,0,0,3
0,175,5,4,41,0,0,0,0,1,2,0,0,0,83,100.0,0,0.0,0,0,3
0,11,5,4,41,0,0,0,0,1,2,0,0,7,198,100.0,0,0.0,0,0,3
1,205,5,4,41,0,0,0,0,0,4,1,0,5,1035,100.0,0,0.0,0,0,3
0,101,5,4,41,1,0,0,12,0,4,1,0,1,7418,99.8,1,949.95,0,0,3
1,205,4,3,41,0,0,0,0,1,3,0,0,3,599,100.0,0,0.0,0,0,3
1,205,2,0,41,1,0,0,0,1,4,1,1,5,3495,100.0,1,1659.0,0,0,3
1,205,5,4,41,0,0,0,0,0,0,0,0,7,114,100.0,0,0.0,0,0,3
0,201,5,4,41,1,0,1,0,1,0,0,0,9,33,100.0,0,600.0,0,0,3
1,205,5,4,41,1,0,1,0,0,4,1,0,7,261,98.3,0,1300.0,0,0,3
0,92,5,4,41,0,0,0,0,1,4,1,1,9,35,86.4,0,0.0,0,0,3
1,205,4,3,41,1,0,1,0,1,4,1,1,7,478,100.0,0,459.0,0,0,3
0,35,5,4,41,1,0,0,0,1,3,0,1,5,2090,100.0,1,1995.0,0,0,3
0,180,5,4,41,0,0,0,0,0,2,0,0,9,22,92.9,0,0.0,0,0,3
1,205,0,5,41,0,0,0,0,1,0,0,0,7,256,100.0,0,0.0,0,0,3
