itemId,title,productId_type,productId_value,conditionDisplayName,conditionId,categoryId,categoryName,startTime,endTime,postalCode,country,listingType,bidCount,buyItNowAvailable,bestOfferEnabled,gift,paymentMethod,expeditedShipping,shippingType,isShippingFree,returnsAccepted,topRatedListing,feedbackRatingStar,feedbackScore,positiveFeedbackPercent,topRatedSeller,value,sellingState
121966465598,"MacBook Pro 13"" Retina 3.1 Ghz 16 GB Memory 500 GB Hard drive",NA,NA,Used,3000,111422,Apple Laptops,2016-04-24T19:17:29.000Z,2016-05-01T19:17:29.000Z,02134,US,FixedPrice,NA,False,True,False,PayPal,True,Calculated,False,False,False,Purple,719,100.0,false,1800.0,EndedWithoutSales
172165584010,"Apple MacBook Pro A1278 13.3"" Laptop - MD314LL/A October, 2011 - USED RETAIL BOX",ReferenceID,110909849,Used,3000,111422,Apple Laptops,2016-04-12T16:41:07.000Z,2016-05-01T19:17:27.000Z,55408,US,FixedPrice,NA,False,True,False,PayPal,True,Flat,False,True,False,Red,2071,99.3,false,398.0,EndedWithSales
191859746367,"Apple MacBook Pro A1211 / 2.16 GHz / No Battery, Cosmetic wear, Runs Well AS IS",NA,NA,Used,3000,111422,Apple Laptops,2016-04-30T03:31:01.000Z,2016-05-01T19:16:06.000Z,90025,US,FixedPrice,NA,False,False,False,PayPal,False,Flat,False,False,False,Turquoise,268,100.0,false,92.98,EndedWithoutSales
322091246194,APPLE MACBOOK PRO 2013 LATE  13.3'' I5 2.4GHZ 4GB 128GB RETINA DISPLAY,NA,NA,Used,3000,111422,Apple Laptops,2016-04-30T04:40:25.000Z,2016-05-01T19:16:03.000Z,94804,US,FixedPrice,NA,False,False,False,PayPal,True,FlatDomesticCalculatedInternational,False,True,True,Purple,735,99.7,true,700.0,EndedWithSales
172180498273,"Apple MacBook Pro A1226 15"" 4GB RAM 250GB 7200rpm HDD El Capitan MS Office 2016",NA,NA,Used,3000,111422,Apple Laptops,2016-04-26T01:36:12.000Z,2016-05-01T19:14:41.000Z,89113,US,FixedPrice,NA,False,True,False,PayPal,True,FlatDomesticCalculatedInternational,False,False,False,Turquoise,216,100.0,false,400.0,EndedWithSales
282015986512,mid 2010 macbook pro 13,NA,NA,Used,3000,111422,Apple Laptops,2016-04-24T19:14:02.000Z,2016-05-01T19:14:02.000Z,91504,US,Auction,8,False,False,False,PayPal,True,Calculated,False,False,False,Yellow,36,100.0,false,340.0,EndedWithSales
131791785862,"2013 Apple MacBook Pro RETINA 15"" quad CORE i7, 16GB Ram 256GB SSD/FLASH 2.4GHz",ReferenceID,143366736,Used,3000,111422,Apple Laptops,2016-04-24T19:13:34.000Z,2016-05-01T19:13:34.000Z,10016,US,Auction,8,False,False,False,PayPal,True,Calculated,False,False,False,Yellow,49,0.0,false,1000.0,EndedWithSales
191860322189,"Apple MacBook Pro A1278 13.3"" Laptop - MD101LL/A BRAND NEW *SEALED*",ReferenceID,115174685,New,1000,111422,Apple Laptops,2016-04-30T19:13:32.000Z,2016-05-01T19:13:32.000Z,04103,US,Auction,1,False,False,False,PayPal,False,Flat,False,False,False,Turquoise,161,100.0,false,849.99,EndedWithSales
252366584694,"MacBook Pro, Retina, 15 inch, Early 2013",ReferenceID,143421978,Used,3000,111422,Apple Laptops,2016-04-24T19:11:56.000Z,2016-05-01T19:11:56.000Z,76247,US,Auction,9,False,False,False,PayPal,True,Calculated,False,False,False,Yellow,11,0.0,false,870.55,EndedWithSales
152069084263,"Apple MacBook Pro (13-inch, Mid 2009) Core 2 Duo 2.66GHz/ 4GB Laptop / Notebook",NA,NA,Used,3000,111422,Apple Laptops,2016-04-26T19:10:50.000Z,2016-05-01T19:10:50.000Z,60056,US,Auction,1,False,False,False,PayPal,True,Calculated,False,False,False,Green,5799,100.0,false,299.99,EndedWithSales
