productId_type,productId_value,conditionDisplayName,conditionId,endTime,country,listingType,buyItNowAvailable,bestOfferEnabled,paymentMethod,expeditedShipping,shippingType,isShippingFree,returnsAccepted,feedbackRatingStar,feedbackScore,positiveFeedbackPercent,topRatedSeller,value,sellingState,endHour,endWeekday
1,205,5,4,2016-05-03T22:53:32.000Z,41,1,0,0,0,0,4,1,1,5,1840,99.6,1,1179.0,0,22,1
1,205,5,4,2016-05-03T22:53:26.000Z,41,1,0,1,0,1,4,1,1,7,214,100.0,0,399.0,1,22,1
0,40,5,4,2016-05-03T22:52:36.000Z,41,1,0,0,0,1,3,0,1,5,3633,99.5,0,674.95,1,22,1
1,205,5,4,2016-05-03T22:51:07.000Z,41,1,0,1,0,0,4,1,1,3,694,100.0,1,1099.0,1,22,1
0,43,2,0,2016-05-03T22:49:08.000Z,41,1,0,0,0,1,4,1,1,5,2724,99.4,1,889.99,0,22,1
1,205,5,4,2016-05-03T22:43:15.000Z,41,1,0,0,0,0,3,0,1,3,743,100.0,0,789.0,0,22,1
0,42,5,4,2016-05-03T22:41:23.000Z,41,1,0,0,0,1,4,1,0,7,333,100.0,0,800.0,1,22,1
1,205,5,4,2016-05-03T22:40:54.000Z,41,0,0,0,0,0,4,1,1,3,694,100.0,1,0.0,0,22,1
0,165,5,4,2016-05-03T22:40:29.000Z,41,0,0,0,0,0,2,0,0,0,80,0.0,0,0.0,0,22,1
0,43,2,0,2016-05-03T22:38:57.000Z,41,1,0,1,0,1,2,0,1,5,1964,99.6,0,1099.99,0,22,1
0,43,1,2,2016-05-03T22:38:28.000Z,41,1,0,0,0,0,3,0,1,3,742,99.7,1,1399.0,1,22,1
0,67,5,4,2016-05-03T22:38:17.000Z,41,1,0,1,0,1,3,0,1,5,1380,99.2,0,999.0,0,22,1
0,167,5,4,2016-05-03T22:38:13.000Z,41,0,0,0,0,1,0,0,0,2,4,100.0,0,0.0,0,22,1
0,43,1,2,2016-05-03T22:38:09.000Z,41,1,0,0,0,0,3,0,1,3,742,99.7,1,1399.0,1,22,1
1,205,0,5,2016-05-03T22:35:58.000Z,41,1,0,1,0,0,2,0,0,3,758,99.4,1,249.0,0,22,1
1,205,5,4,2016-05-03T22:34:42.000Z,41,1,0,1,0,1,4,1,0,7,491,100.0,0,1650.0,0,22,1
0,84,5,4,2016-05-03T22:33:38.000Z,41,1,0,0,0,0,3,0,1,7,221,100.0,1,739.0,0,22,1
0,101,5,4,2016-05-03T22:33:09.000Z,41,1,0,1,0,1,0,0,0,7,212,100.0,0,1025.0,1,22,1
1,205,5,4,2016-05-03T22:30:31.000Z,41,0,0,0,0,1,0,0,0,9,14,100.0,0,0.0,0,22,1
1,205,5,4,2016-05-03T22:26:37.000Z,41,1,0,1,0,0,2,0,0,1,7827,100.0,1,265.0,0,22,1
0,43,1,2,2016-05-03T22:26:36.000Z,41,1,0,0,0,0,2,0,1,3,742,99.7,1,940.0,0,22,1
0,178,5,4,2016-05-03T22:25:36.000Z,41,0,0,0,0,0,0,0,0,7,138,100.0,0,0.0,0,22,1
