productId_type,productId_value,conditionDisplayName,conditionId,country,listingType,buyItNowAvailable,bestOfferEnabled,paymentMethod,expeditedShipping,shippingType,isShippingFree,returnsAccepted,sellingState,endHour,endWeekday
1,157,5,4,20,1,0,0,0,1,3,0,1,1,21,5
0,26,5,4,20,1,0,1,0,1,3,0,1,0,0,6
1,157,5,4,20,0,1,0,0,0,4,1,1,1,0,6
1,157,2,0,20,1,0,0,0,1,3,0,1,0,10,5
1,157,2,0,20,1,0,1,0,1,4,1,0,0,16,5
0,92,5,4,20,1,0,0,0,1,2,0,0,1,23,5
1,157,0,5,20,0,0,0,0,0,4,1,0,0,0,6
0,24,5,4,20,1,0,1,0,0,2,0,1,0,18,5
1,157,5,4,20,1,0,0,0,1,2,0,0,0,2,5
1,157,5,4,20,1,0,1,0,1,4,1,0,1,1,5
1,157,1,2,20,1,0,0,0,1,4,1,0,0,16,5
1,157,5,4,20,1,0,0,0,1,4,1,1,0,0,5
0,45,5,4,20,1,0,1,0,0,3,0,0,1,20,5
1,157,0,5,20,1,0,0,0,0,3,0,0,0,2,5
0,54,5,4,20,0,0,0,0,1,3,0,0,0,23,5
1,157,5,4,20,1,0,0,0,1,2,0,1,0,9,5
0,75,3,1,20,1,0,1,0,1,0,0,0,0,0,5
0,6,5,4,20,1,0,1,0,0,4,1,1,0,15,5
0,78,5,4,20,1,0,0,0,1,0,0,1,0,17,5
0,82,5,4,20,1,0,0,0,1,0,0,1,0,6,5
1,157,5,4,20,0,0,0,0,1,3,0,1,0,23,5
1,157,2,0,20,1,0,1,0,1,4,1,0,0,19,5
0,36,5,4,20,1,0,1,0,1,3,0,1,1,23,4
1,157,0,5,20,1,0,1,0,0,4,1,1,0,15,5
1,157,5,4,20,1,0,1,0,1,4,1,1,0,20,5
1,157,5,4,20,1,0,0,0,1,0,0,0,1,2,5
1,157,5,4,20,1,0,1,0,0,3,0,0,0,23,4
1,157,5,4,20,1,0,0,0,0,3,0,1,0,0,5
0,106,5,4,20,0,0,0,0,1,0,0,0,1,4,6
1,157,4,3,20,0,0,0,0,1,4,1,0,0,16,5
0,9,5,4,20,1,0,1,0,0,4,1,1,0,1,5
1,157,5,4,20,0,1,0,0,0,2,0,1,0,1,6
0,19,5,4,20,1,0,0,0,0,3,0,1,0,22,4
0,35,5,4,20,0,0,0,0,0,0,0,0,0,21,5
1,157,5,4,20,0,0,0,0,1,0,0,0,0,1,5
0,82,2,0,20,1,0,1,0,1,3,0,1,1,16,5
1,157,5,4,20,1,0,0,0,1,4,1,1,0,17,5
0,140,5,4,20,1,0,1,0,1,4,1,0,0,17,5
0,45,5,4,20,0,0,0,0,1,2,0,0,0,21,4
1,157,5,4,20,1,0,1,0,1,0,0,0,0,16,5
1,157,0,5,20,1,0,0,0,1,3,0,0,0,9,5
1,157,5,4,20,1,0,1,0,0,4,1,1,0,21,4
0,148,5,4,20,0,1,0,0,1,0,0,0,1,21,4
1,157,5,4,20,1,0,1,0,1,4,1,0,0,22,4
0,41,5,4,20,1,0,1,0,0,2,0,0,0,23,4
1,157,0,5,20,1,0,0,0,1,3,0,0,0,22,4
0,38,5,4,20,1,0,0,0,0,2,0,0,0,21,4
1,157,5,4,20,1,0,1,0,1,0,0,0,0,21,5
0,8,5,4,20,1,0,1,0,0,2,0,1,0,12,5
0,70,5,4,20,1,0,1,0,1,4,1,0,0,20,4
0,37,5,4,20,1,0,0,0,1,3,0,1,0,22,4
0,156,5,4,20,0,0,0,0,1,0,0,0,1,0,5
1,157,5,4,20,1,0,1,0,1,4,1,0,0,22,4
1,157,5,4,20,1,0,0,0,0,2,0,1,0,21,4
0,96,5,4,20,1,0,0,0,1,4,1,0,1,20,4
0,36,3,1,20,0,0,0,0,1,4,1,1,1,20,5
0,153,0,5,20,1,0,0,0,0,0,0,0,0,0,5
0,65,5,4,20,1,0,0,0,1,4,1,0,1,20,4
0,67,5,4,20,1,0,1,0,1,0,0,0,1,16,5
0,36,5,4,20,1,0,1,0,1,3,0,1,0,22,4
0,148,0,5,20,0,0,0,0,0,6,0,0,0,16,5
0,70,5,4,20,0,0,0,0,1,4,1,0,0,20,4
0,156,5,4,20,0,1,0,0,1,2,0,0,1,17,5
0,75,3,1,20,1,0,1,0,1,0,0,0,0,20,4
1,157,4,3,20,1,0,0,0,1,4,1,1,1,17,5
0,34,0,5,20,1,0,0,0,0,4,1,0,0,19,4
1,157,5,4,20,1,0,0,0,1,4,1,1,0,1,5
1,157,0,5,20,1,0,1,0,0,4,1,0,0,19,4
0,36,0,5,20,1,0,0,0,1,3,0,0,0,18,4
0,24,0,5,20,1,0,0,0,1,3,0,1,0,16,5
1,157,0,5,20,1,0,1,0,1,0,0,0,0,18,4
0,7,5,4,20,1,0,1,0,1,3,0,1,0,19,4
0,8,5,4,20,1,0,1,0,1,0,0,0,0,11,5
0,79,2,0,20,1,0,0,0,0,4,1,0,0,13,5
0,82,5,4,20,0,1,0,0,1,2,0,0,1,18,4
0,64,5,4,20,1,0,0,0,1,3,0,1,0,13,5
0,67,5,4,20,0,0,0,0,1,0,0,0,0,18,5
1,157,5,4,20,1,0,1,0,1,3,0,0,1,18,4
1,157,5,4,20,1,0,0,0,1,2,0,0,0,13,5
0,152,5,4,20,1,0,0,0,0,3,0,1,0,2,5
0,120,5,4,20,0,0,0,0,1,0,0,0,1,17,4
1,157,5,4,20,1,0,0,0,1,3,0,0,0,15,5
0,29,5,4,20,1,0,0,0,0,3,0,1,1,19,4
0,29,5,4,20,1,0,0,0,0,3,0,1,1,19,4
0,27,5,4,20,0,0,0,0,1,2,0,0,1,17,4
1,157,0,5,20,1,0,1,0,0,0,0,0,0,3,5
0,8,5,4,20,1,0,1,0,1,3,0,0,1,20,4
1,157,5,4,20,1,0,0,0,1,3,0,0,1,15,5
0,76,1,2,20,1,0,0,0,1,4,1,1,0,3,5
1,157,0,5,20,1,0,1,0,1,0,0,0,0,18,4
0,8,5,4,20,1,0,0,0,0,4,1,1,0,17,4
0,70,2,0,20,1,0,0,0,0,3,0,1,0,17,4
1,157,5,4,20,1,0,0,0,0,3,0,1,0,21,5
1,157,5,4,20,1,0,1,0,0,2,0,0,0,21,4
0,148,5,4,20,1,0,1,0,1,0,0,0,0,18,4
1,157,2,0,20,1,0,0,0,1,3,0,1,0,20,4
